"p_index","years","ppg","rpg","apg","bpg","sgp"
41,4,"11.905405405405405","4.156081081081081","1.2","1.4722297297297298","1.5913175675675675"
42,8,"7.355454545454545","2.1645454545454546","1.1151515151515152","1.4107575757575759","1.2693636363636362"
43,3,"3.103592814371257","3.5634730538922157","0.2694610778443114","1.3529341317365267","1.2921556886227545"
44,4,"6.191044776119403","5.528358208955225","0.5895522388059702","2.2891044776119402","1.6458208955223883"
45,3,"4.141176470588235","0.9470588235294117","0.3235294117647059","2.0935294117647056","1.0629411764705885"
46,12,"10.802662721893492","3.5075443786982246","2.029733727810651","1.4017603550295858","1.4082544378698225"
47,1,"4.1","1.9","0.6","2.33","1.12"
48,1,"2.8","3","0.4","0.02","2.38"
49,1,"7.6","5.2","2.1","0.45","0.07"
50,1,"3.1","0.6","0.6","1.53","0.84"
51,2,"1.74","2.3800000000000003","0.46","0.47","0.9400000000000001"
52,2,"8.156962025316455","4.7","2.0708860759493675","0.28417721518987343","2.4755696202531645"
53,2,"3.0103448275862075","1.4862068965517239","0.5896551724137932","1.720344827586207","2.6186206896551725"
54,3,"5.3149425287356316","1.4218390804597703","0.5137931034482758","2.3473563218390807","1.3350000000000002"
55,2,"2.716666666666667","1","0.55","2.0616666666666665","1.2950000000000002"
56,6,"6.044520547945206","2.622602739726027","2.7184931506849312","0.8268493150684931","0.973390410958904"
57,1,"1.5","0","0","1.02","0.73"
58,1,"0.8","0.2","0.2","0.61","0.22000000000000003"
59,9,"6.866666666666666","5.733718689788054","0.8127167630057803","1.5000770712909444","1.800057803468208"
60,2,"2.8774193548387093","1.493548387096774","0.23548387096774195","0.12806451612903225","0.7874193548387097"
61,1,"0","0","0","2.54","2.47"
62,1,"2.8","3.5","0.3","1.9","0.44"
63,2,"4.315686274509805","2.7205882352941178","0.3","0.6087254901960785","0.9363725490196079"
64,3,"7.3999999999999995","1.976923076923077","2.5230769230769234","2.163846153846154","2.198461538461538"
65,7,"5.315358361774744","3.916382252559727","0.4822525597269624","1.3727303754266214","1.3153242320819112"
66,5,"3.9769230769230774","2.4763736263736265","0.32472527472527474","1.8202747252747253","1.8720879120879121"
67,5,"2.4842105263157896","3.0171052631578945","0.43421052631578955","1.4271052631578949","1.4807894736842107"
68,9,"18.563787375415284","3.060963455149501","2.450664451827243","1.0927574750830564","1.577890365448505"
69,1,"6.200000000000001","1.5","0.9000000000000001","1.5","0.07"
70,7,"9.065354330708661","2.820472440944882","1.1532808398950132","1.1843307086614174","1.8161154855643047"
71,14,"26.67352297592998","3.7105032822757114","6.151312910284463","1.1548796498905907","1.5191137855579868"
72,2,"9.700000000000001","2.5818181818181816","1.7090909090909088","0.6818181818181819","2.0290909090909093"
73,1,"0","1","0","1.3","1.1"
74,8,"6.633333333333333","3.2709832134292562","1.0609112709832134","2.1948920863309356","0.8924940047961629"
75,11,"14.675949367088606","7.634719710669078","0.944484629294756","1.2398010849909586","1.0954792043399637"
76,2,"12.253061224489795","7.285714285714286","3.2632653061224492","1.6408163265306122","0.9322448979591836"
77,3,"2.5506849315068494","1.6753424657534246","0.12465753424657534","0.9009589041095892","1.7752054794520549"
78,2,"1.5183333333333335","3.0133333333333336","0.18833333333333335","1.037","2.740333333333333"
79,1,"1.1","1.6","0.1","0.66","2.47"
80,1,"2.8","1","1.3","1","2.91"
81,9,"9.048043478260869","2.4619565217391304","4.080217391304348","1.4869782608695652","1.4805869565217389"
82,3,"1.8504854368932038","1.8728155339805823","0.2640776699029126","1.6210679611650485","1.1470873786407767"
83,14,"18.91182033096927","7.840898345153664","1.2404255319148938","1.4690543735224586","1.214645390070922"
84,1,"2.6","1.6","0.2","2.78","0.8800000000000001"
85,2,"1.4","1.5","0.23999999999999996","1.524","0.568"
86,4,"5.466298342541436","1.7419889502762431","1.1911602209944752","0.9976795580110498","0.8758563535911601"
87,14,"7.018160919540229","5.399310344827586","1.2366666666666666","1.5536321839080458","1.5838045977011492"
88,14,"7.250632911392405","7.173575949367089","1.1664556962025316","1.7206962025316457","1.416471518987342"
89,2,"3.0375","1.7125","0.375","0.83375","2.7337499999999997"
90,9,"10.10017730496454","5.357801418439716","1.4117021276595743","1.47468085106383","1.4732801418439718"
91,4,"3.2686567164179103","1.0820895522388059","2.001492537313433","1.1535820895522388","2.212985074626866"
92,2,"2.7837837837837838","2.8216216216216212","0.21081081081081082","0.9018918918918918","1.6610810810810812"
93,1,"0.8","0.5","0.3","2.65","0.96"
94,11,"13.149808917197452","12.698980891719746","1.3109554140127386","1.6820509554140126","1.531388535031847"
95,2,"1.4571428571428573","0.6","0.08571428571428573","2.2328571428571427","1.9514285714285715"
96,19,"11.343785540211211","4.907879772542649","4.196019496344434","1.3640292445166533","1.1524939073923637"
97,2,"4","1.3333333333333333","1.1666666666666667","1.68","2.186666666666667"
98,17,"12.480138036809818","3.678680981595092","6.529141104294479","1.4661963190184049","1.6173236196319016"
99,2,"3.574074074074074","1.2444444444444445","0.9888888888888888","1.3244444444444445","1.4505555555555556"
100,7,"4.503257328990228","4.010097719869707","0.8664495114006515","1.5330944625407166","1.0337133550488597"
101,10,"14.326545454545455","4.62090909090909","1.195818181818182","1.9243818181818184","1.867072727272727"
103,13,"11.83224592220828","5.473651191969887","2.7121706398996235","1.3010539523212046","1.5106524466750313"
104,8,"10.55622568093385","4.488326848249028","1.1889105058365759","1.5009533073929964","1.5707392996108949"
105,14,"9.648016997167142","8.664164305949008","2.1866855524079325","1.7623512747875358","1.538201133144476"
106,8,"11.531339712918658","7.702631578947368","1.1533492822966507","0.9662440191387561","0.9573923444976077"
107,9,"4.867433628318584","4.338938053097345","0.596283185840708","1.0277522123893805","1.3200176991150443"
108,1,"1.1","0.3","0.3","1.36","2.49"
109,3,"4.048979591836734","0.7224489795918367","0.4897959183673469","2.0161224489795915","2.2646938775510206"
110,3,"6.973793103448275","1.9724137931034478","2.790344827586207","1.6691724137931034","1.2927586206896553"
111,4,"3.8134228187919468","3.9107382550335568","0.39932885906040266","1.3332214765100672","1.2893288590604026"
112,1,"9.5","2.7","4.5","0.15","1.47"
113,5,"5.96280701754386","3.0168421052631578","0.44070175438596493","1.9875087719298248","1.498701754385965"
115,9,"19.14409448818898","4.48","2.338897637795276","1.9411496062992124","1.6006771653543306"
116,10,"6.299612403100776","7.036821705426357","0.9195736434108527","1.628624031007752","1.5908914728682173"
118,1,"1.6","0.2","0.6","2.84","1.34"
119,11,"12.91403887688985","4.3682505399568035","4.006047516198704","0.9983801295896327","0.9101511879049676"
120,5,"12.639194139194139","2.2644688644688644","2.4838827838827835","1.8821978021978023","1.642197802197802"
121,1,"1.5","2","0","2.2","1.33"
122,1,"3.1","2.4","0.8","0.9","0.21"
123,16,"18.496768236380426","7.520129270544782","1.6336103416435828","1.5862326869806098","1.815983379501385"
124,3,"5.976991150442479","3.941592920353983","0.5849557522123894","1.968849557522124","1.985486725663717"
125,2,"1.7092592592592593","1.5833333333333333","0.2","1.3381481481481483","1.9855555555555555"
126,4,"4.359602649006623","3.1364238410596026","0.4814569536423841","1.4421192052980132","0.9835761589403974"
127,1,"2.8","1","0.4","2.75","1.92"
128,3,"3.948780487804878","2.502439024390244","0.7073170731707317","1.312439024390244","1.4648780487804878"
129,13,"4.825682182985553","2.077207062600321","3.787479935794543","1.3111396468699839","1.0766773675762442"
130,10,"25.1248322147651","10.63489932885906","2.517953020134228","1.455973154362416","1.272063758389262"
131,3,"21.823318385650225","5.121973094170404","3.7219730941704037","1.6026905829596414","1.651390134529148"
132,3,"3.5325581395348835","1.8286821705426355","0.5596899224806201","2.260232558139535","2.3195348837209306"
133,7,"6.437946428571428","1.4129464285714284","2.819642857142857","1.793169642857143","1.675625"
135,11,"5.679468242245199","1.7330871491875925","2.9103397341211226","1.3075036927621861","1.5063958641063515"
136,3,"6.220454545454547","3.2681818181818185","1.3522727272727273","1.570909090909091","2.3045454545454542"
137,3,"11.203524229074889","8.069603524229075","3.5259911894273133","1.369383259911894","2.4099559471365635"
138,3,"2.9573529411764703","3.429411764705882","0.3426470588235294","1.333529411764706","1.291470588235294"
139,9,"9.446453900709221","2.1448581560283695","0.8856382978723404","1.6119680851063827","1.5507978723404252"
140,9,"9.053036437246964","3.2036437246963567","2.279554655870445","2.108906882591093","1.6120445344129553"
141,9,"9.268641114982579","2.668641114982578","2.5585365853658537","1.4332229965156793","1.3919163763066202"
142,6,"7.09047619047619","4.2710317460317455","0.7440476190476191","1.4682142857142857","1.8736904761904762"
143,3,"4.093846153846154","0.7938461538461539","0.5399999999999999","2.7327692307692306","1.6404615384615384"
144,12,"6.270958083832335","3.3832335329341325","0.9311377245508982","1.4934730538922156","1.1175748502994014"
145,4,"5.866310160427807","2.090374331550802","0.723529411764706","1.8136363636363635","1.5512834224598928"
146,1,"1.5","0.7","0.5","1.45","0.07"
147,12,"17.51578947368421","7.7044792833146705","3.544120940649496","1.706730123180291","1.4930459126539752"
148,6,"5.4498316498316495","2.2898989898989894","1.005050505050505","0.9355555555555556","0.8861616161616162"
149,1,"2","1","0","2.75","2.82"
150,2,"7.449999999999999","1.8499999999999999","0.7999999999999999","0.745","1.95"
151,2,"2.2962962962962963","0.5703703703703703","1.2703703703703704","1.3025925925925927","0.842962962962963"
152,10,"7.519938650306749","1.8889570552147241","3.3030674846625767","1.5668404907975462","2.0002760736196317"
153,10,"10.590086206896551","7.844252873563219","1.282902298850575","1.1961063218390804","1.0937356321839078"
154,2,"2.3548387096774195","1.5064516129032257","0.30000000000000004","2.6180645161290323","1.2151612903225808"
155,4,"2.2644444444444445","1.7088888888888891","0.40222222222222226","0.6853333333333335","2.1386666666666665"
156,14,"11.928966986155485","7.5274760383386585","1.3053248136315228","1.4050905218317358","1.127199148029819"
157,1,"3.9","2.2","0.4","2.88","1.12"
158,1,"1","0.6","0.1","2.14","0.35"
159,2,"5.5928571428571425","3.892857142857143","0.7107142857142856","2.850714285714286","0.9796428571428571"
160,4,"6.295757575757576","2.0193939393939395","1.2703030303030305","1.9160000000000004","1.3836969696969696"
161,3,"1.7894736842105263","1.8631578947368421","0.5052631578947369","2.445263157894737","1.6321052631578947"
162,4,"9.039024390243904","5.1813008130081295","0.9065040650406505","2.113983739837398","1.9827642276422763"
163,2,"3.3404255319148937","0.9957446808510639","1.2","0.5825531914893618","2.433404255319149"
164,2,"6.894594594594595","2.305405405405405","1.2081081081081082","0.5808108108108109","0.4908108108108109"
165,2,"3.557627118644068","3.059322033898305","0.2","0.5538983050847458","2.6971186440677966"
166,1,"0","0","0","0.94","2.28"
167,9,"5.976819923371647","4.576053639846743","0.7860153256704981","1.474406130268199","1.7390421455938696"
168,11,"10.757086614173227","2.843438320209974","1.8233595800524933","1.7480314960629924","1.770485564304462"
169,2,"1.7085714285714284","1.9399999999999997","0.1742857142857143","1.5614285714285716","1.5102857142857142"
171,6,"11.50705289672544","7.17808564231738","2.1022670025188916","2.231385390428212","1.6260705289672543"
172,1,"1.3","1.7","0.1","2.5","2.77"
173,1,"0","0","0","2.57","2.73"
174,12,"6.781335356600911","4.030955993930196","0.9368740515933232","1.553247344461305","1.3266767830045525"
175,5,"5.398069498069498","2.6397683397683394","0.7694980694980695","1.7807722007722007","1.768687258687259"
176,2,"10.218399999999999","3.0976000000000004","2.6191999999999998","1.4157599999999997","1.8024"
177,10,"8.705727554179568","2.0679566563467495","2.1484520123839004","1.9928637770897835","1.1027244582043343"
178,12,"11.041818181818181","2.818939393939394","1.685757575757576","1.0323181818181817","0.9496969696969696"
179,8,"8.3632","1.5634","5.332400000000001","1.19234","1.6474599999999995"
180,3,"2.36","1.375","0.35833333333333334","1.7674999999999998","1.9255"
181,3,"3.0666666666666673","1.1848484848484848","0.5666666666666667","1.3866666666666667","0.7903030303030304"
182,2,"8.698089171974521","2.8000000000000003","2.9433121019108284","1.2706369426751591","0.9139490445859871"
183,3,"6.412037037037037","1.4611111111111112","2.4675925925925926","1.5572222222222223","2.3746296296296294"
184,6,"14.70598086124402","8.478708133971292","3.4141148325358848","1.5127033492822968","1.4107177033492824"
185,8,"16.856779661016947","3.7917372881355926","7.633262711864407","1.4121822033898306","1.4671398305084742"
186,1,"0","0.6999999999999998","0","2.45","2.38"
187,4,"1.375","1.3625","0.13","2.3312500000000003","0.9332499999999999"
188,11,"14.90806451612903","2.477822580645161","2.5163978494623658","1.5791397849462363","1.2743682795698925"
189,2,"4.276315789473684","3.1447368421052637","0.5105263157894736","1.7389473684210526","1.4057894736842105"
190,1,"2","0.6","0.8","0.35","0.36"
191,9,"9.011510791366906","2.2836330935251805","1.0026978417266188","1.9403057553956837","1.5512050359712228"
192,1,"0","0.5","0.5","2.41","1.86"
193,5,"14.72839116719243","7.817350157728706","7.52334384858044","2.0303154574132494","1.5600315457413247"
194,2,"4.01","2.1600000000000006","2.14","0.17600000000000002","1.21"
195,16,"5.738235294117649","9.641544117647058","1.3138786764705883","1.4083639705882351","1.6029411764705888"
196,1,"16.7","4.1","1.5","0.21","0.29"
197,13,"8.373525872442839","2.051744885679904","3.4412755716004817","1.627364620938628","1.7982791817087842"
198,4,"3.0555555555555554","2.6333333333333333","0.1925925925925926","0.4707407407407407","1.1951851851851851"
199,3,"2.180434782608695","2.273913043478261","0.13478260869565217","1.4076086956521738","2.1406521739130433"
200,3,"4.510937500000001","2.4281249999999996","1.00625","1.4890625000000002","0.493046875"
201,4,"2.6670212765957446","1.7914893617021277","0.3872340425531915","1.4801063829787233","2.2777659574468085"
202,4,"3.9415584415584415","2.0025974025974023","0.5298701298701299","1.656103896103896","2.045714285714286"
203,1,"6.5","0.8","1.8","1.62","0.75"
204,4,"8.426294820717132","5.917131474103586","2.2167330677290833","1.0887649402390438","1.326972111553785"
205,3,"2.7207547169811326","0.958490566037736","0.49056603773584906","2.077735849056604","1.2239622641509436"
206,7,"5.79009900990099","1.7435643564356433","3.1389438943894388","1.685973597359736","1.476996699669967"
207,12,"5.103128911138924","5.948060075093869","0.6147684605757197","1.673166458072591","1.7055819774718395"
208,3,"13.5375","7.366911764705883","1.2786764705882352","0.7263970588235296","0.4652941176470588"
209,3,"3.7666666666666666","1.804761904761905","0.14285714285714285","1.9747619047619047","1.1638095238095238"
210,3,"4.6157894736842096","1.1631578947368422","1.1842105263157896","2.0436842105263158","1.9057894736842105"
211,13,"18.958562091503268","8","4.003921568627451","1.3490980392156862","1.2089411764705884"
212,1,"5","2.2","2.6","1.12","1.12"
213,3,"8.598795180722892","2.6590361445783133","2.106024096385542","1.445","0.4581325301204819"
214,12,"5.577234636871508","5.187709497206704","1.7631284916201118","1.2259636871508381","1.2096927374301674"
215,1,"0","1","0","1.96","1.56"
216,8,"9.320682730923696","3.562449799196787","4.033132530120482","1.0136947791164659","1.8087550200803213"
217,8,"5.658044164037856","3.6583596214511043","0.47697160883280765","1.5937539432176655","1.453659305993691"
218,4,"4.360126582278481","0.6544303797468355","1.4721518987341773","1.5876582278481013","1.8760126582278482"
219,2,"3.565454545454545","0.9663636363636364","2.9445454545454544","0.6632727272727272","0.9772727272727273"
220,11,"9.681115879828326","3.091130185979971","2.5725321888412016","1.5374821173104436","1.6631616595135907"
221,2,"3.2155555555555555","1.6577777777777776","0.5022222222222222","2.2826666666666666","1.275111111111111"
222,1,"12.6","3.6","3.4","1.54","1.39"
223,8,"11.47227533460803","7.003824091778202","1.221223709369025","1.3602294455066923","1.3841682600382408"
224,10,"8.992489270386264","3.822532188841201","1.5201716738197424","1.703090128755365","1.4556008583690987"
225,3,"13.533492822966506","3.24688995215311","3.496650717703349","1.1638277511961723","0.9617224880382775"
226,9,"15.586706948640483","3.629758308157099","1.6738670694864046","1.7833081570996978","0.672809667673716"
227,4,"6.348780487804878","3.8219512195121954","0.7178861788617886","0.6265853658536586","1.444308943089431"
228,2,"10.861600000000001","2.5656000000000003","2.9343999999999997","1.1963199999999998","1.7603199999999999"
229,1,"2.2","1.6","0.3","0.01","1.9700000000000002"
230,9,"12.516216216216215","4.653667953667954","2.2442084942084937","1.824150579150579","2.0871235521235523"
231,1,"4.9","3.8","0.4","0.72","0.77"
232,12,"9.191973969631237","4.466811279826465","3.636334056399132","1.3542082429501083","1.5248481561822125"
233,5,"7.1605691056910565","2.673577235772358","0.8695121951219512","1.247317073170732","2.3660975609756094"
234,2,"4.953846153846154","1.5038461538461538","0.7730769230769231","1.5057692307692307","1.2715384615384617"
235,2,"1.9400000000000002","1.26","0.44","2.27","0.652"
236,12,"11.710838709677418","7.491612903225806","3.0934193548387103","1.618","0.8844645161290323"
237,4,"5.490052356020943","1.698429319371728","2.446073298429319","1.45","2.2958638743455495"
238,11,"22.134100719424463","4.062158273381295","4.266618705035971","1.8582158273381295","1.322604316546763"
239,10,"6.97873831775701","3.657242990654206","0.44813084112149537","1.4812149532710281","0.960070093457944"
240,1,"0.8000000000000002","0.6999999999999998","0","0.9499999999999998","0.43"
241,1,"0","0","1","1.37","1.6"
242,3,"2.2037037037037037","0.6083333333333334","0.2361111111111111","2.178425925925926","0.8137962962962964"
243,10,"9.14322033898305","4.707203389830509","0.848728813559322","1.5905649717514123","1.856935028248588"
244,1,"6.7","2.2","1","1.61","0.16"
245,1,"6.5","1.4","0.9","0.4799999999999999","1.93"
246,4,"10.69662447257384","5.568776371308017","1.39915611814346","1.9030379746835444","1.8105063291139238"
247,2,"3.6653846153846152","2.4461538461538463","0.7076923076923077","2.0965384615384615","2.599615384615385"
248,2,"3.753846153846154","1.376923076923077","2.0076923076923077","1.5469230769230768","1.7807692307692307"
249,2,"3.314925373134329","2.791044776119403","0.3149253731343284","0.34343283582089557","0.8614925373134328"
250,7,"19.2046004842615","5.175544794188862","4.068523002421308","1.9366101694915256","1.5234866828087168"
251,9,"14.058918918918918","2.9837837837837844","5.657117117117117","2.119765765765766","1.7088108108108109"
252,9,"13.957871396895786","3.0698447893569845","3.933924611973392","1.0958980044345898","1.7350110864745012"
253,1,"2.3","1.1","0.6","0.11","0.8"
254,6,"18.815030674846625","4.255828220858896","4.633128834355828","1.575889570552147","1.8217484662576686"
255,9,"6.753222453222453","2.930769230769231","0.9900207900207901","2.1320374220374214","1.0786070686070686"
256,1,"5.1","1.1","0.7","1.03","2.19"
257,3,"9.683333333333334","2.516666666666667","2.675","2.118333333333333","1.2666666666666666"
258,2,"5.935714285714286","3.6","0.7857142857142857","2.204285714285714","1.0485714285714287"
259,13,"6.782720588235294","5.973039215686276","0.5631127450980393","1.6088970588235292","0.6359558823529412"
260,8,"7.598301486199575","2.281953290870488","2.099787685774947","2.027537154989384","2.0346709129511678"
261,6,"4.925490196078432","1.309313725490196","2.2348039215686275","1.316470588235294","1.1291666666666669"
262,1,"1.2","0.6","0.2","2.45","0.26"
263,1,"2.2","2.4","0.2","1.15","2.93"
264,11,"7.412869822485208","2.4085798816568045","6.1571005917159765","1.3628550295857988","1.5242011834319529"
265,2,"0.75","0.85","0","2.44","0.6549999999999999"
266,12,"4.625","2.313377192982456","1.0328947368421053","1.303377192982456","1.944780701754386"
267,9,"5.502142857142856","2.6569047619047623","0.6033333333333334","1.6365952380952382","1.7174999999999998"
268,3,"3.698039215686275","1.6117647058823528","0.7745098039215687","1.9988235294117647","0.4770588235294118"
269,10,"9.610200668896319","7.498327759197324","1.1628762541806017","1.4031605351170569","1.0907023411371237"
271,4,"6.3843220338983055","1.3838983050847455","2.172033898305085","1.4213559322033897","1.6171610169491524"
272,11,"3.070769230769231","1.9761538461538464","0.8278846153846153","1.5115961538461535","1.0485192307692308"
273,7,"4.925653206650831","2.748456057007126","2.8976247030878857","1.7101900237529692","1.6138004750593824"
274,14,"4.722532894736842","4.66595394736842","0.4774671052631579","1.303453947368421","1.7392105263157895"
275,3,"3.1822222222222227","1.897777777777778","1.4355555555555555","1.5591111111111111","1.6413333333333333"
276,2,"2.2428571428571424","1.5999999999999996","0.1285714285714286","1.724285714285714","1.3357142857142856"
277,2,"2.076923076923077","2.161538461538462","0.6230769230769231","2.563076923076923","2.44"
278,2,"3.3272727272727276","1.4545454545454546","0.9","1.0445454545454547","2.4854545454545454"
279,15,"16.38107822410148","6.269344608879494","1.417019027484144","1.4179281183932346","1.1625898520084565"
280,2,"5.177319587628866","1.1216494845360825","2.143298969072165","1.6469072164948453","0.6137113402061856"
281,13,"6.05475372279496","2.7822451317296677","1.2371134020618557","1.6441580756013745","1.5412485681557846"
282,5,"8.522636103151862","4.246991404011461","2.4297994269340975","1.9863610315186246","1.5110315186246415"
283,7,"4.220952380952381","2.532380952380952","0.6914285714285715","1.8032380952380955","1.647142857142857"
284,1,"2.9","1.8","0.2","1.11","0.58"
285,7,"1.703921568627451","1.0676470588235294","0.17254901960784316","1.4491176470588236","1.4747058823529413"
286,5,"12.351572327044025","6.833018867924527","1.6216981132075474","1.5273899371069182","1.9202201257861635"
287,6,"8.447019867549669","2.783443708609272","1.7953642384105961","1.058841059602649","2.097880794701987"
288,2,"3.8043478260869565","0.782608695652174","0.7913043478260869","1.0234782608695652","1.2278260869565216"
289,1,"5.6","3.4","1.1","0.44","2.4199999999999995"
290,3,"5.448051948051948","1.2896103896103897","2.6220779220779216","1.7762337662337664","1.1314285714285715"
291,1,"5.3","2","1.2","2.69","2.76"
292,7,"8.74431554524362","1.6575406032482598","1.1958236658932715","2.1061716937354986","1.6487703016241297"
293,10,"9.002453987730062","3.8437116564417177","1.4817484662576688","1.410015337423313","1.1717331288343558"
294,1,"3.3","1.7","0.9","1.63","0.69"
295,2,"5.800869565217392","5.079130434782609","0.628695652173913","1.0323478260869565","1.597478260869565"
296,1,"1.6","0.6","0.4","1.86","0.44000000000000006"
297,7,"16.08613138686131","4.390328467153285","2.559124087591241","1.3015875912408759","1.2581934306569342"
298,5,"7.377248677248677","4.169312169312169","0.8084656084656086","0.9642328042328043","1.2006878306878308"
299,1,"6.700000000000001","1.5","1.3","1.27","1.14"
300,10,"7.245333333333335","1.9158333333333333","2.4793333333333334","1.2738166666666664","1.4837999999999998"
301,2,"4.679245283018868","1.2169811320754718","1.0150943396226415","1.1447169811320754","2.700377358490566"
302,2,"17.794736842105262","5.610526315789474","5.663157894736842","0.7557894736842105","1.8005263157894738"
304,10,"7.669934640522874","3.05359477124183","1.5348039215686273","1.437140522875817","1.5541666666666667"
305,1,"3.8","1.9","0.6","0.1","1"
306,4,"7.971287128712872","3.711386138613862","1.3460396039603961","2.3722772277227726","1.0250000000000001"
307,3,"2.252","2.892","0.7160000000000001","0.9740000000000002","1.8024"
308,7,"2.631330472103004","2.4330472103004297","0.43304721030042914","1.8401716738197424","0.6762660944206008"
309,2,"9.920224719101123","2.1449438202247193","1.1797752808988764","0.7105617977528089","1.5414606741573034"
310,2,"9.465322580645159","2.078225806451613","1.2919354838709676","2.016532258064516","0.7621774193548386"
311,2,"1.2499999999999998","1","0.19999999999999998","1.17","0.94"
312,4,"11.349333333333332","3.74","1.472","1.1436","1.4373333333333331"
313,1,"4.7","5","1","2.72","2.74"
314,1,"10.8","5.3","1.3","1.91","2.82"
315,8,"8.0434250764526","2.228746177370031","3.4397553516819577","1.4525076452599388","1.0375840978593271"
316,2,"4.583333333333333","1.4750000000000003","0.6375","1.6495833333333334","0.8941666666666667"
317,7,"14.149999999999999","3.836224489795918","3.935969387755102","1.5302551020408164","1.8730612244897957"
318,3,"5.171428571428572","3.05527950310559","0.48757763975155277","1.9522981366459626","0.6491304347826087"
319,7,"10.41969696969697","4.999999999999999","0.648989898989899","1.7407323232323233","1.0260858585858585"
320,2,"2.6951612903225803","0.9774193548387097","0.4","1.558709677419355","2.0490322580645164"
322,2,"2.025","0.6583333333333333","0.9416666666666668","0.9333333333333332","1.2258333333333333"
323,9,"6.618629173989454","1.7012302284710017","3.091212653778559","1.7775746924428824","1.4810720562390158"
324,13,"16.231823461091754","9.508826945412311","2.2530778164924508","1.7078048780487802","1.46465737514518"
325,8,"8.108284023668638","3.5954635108481257","1.757396449704142","1.6689546351084814","1.3105917159763314"
326,6,"6.880310880829016","4.269430051813472","0.5777202072538861","2.2821243523316057","1.4651813471502593"
327,19,"22.448571428571423","6.197460317460317","2.7267460317460315","1.6840873015873015","1.0780476190476194"
328,14,"14.11362088535755","4.982633371169126","2.277639046538025","1.574733257661748","1.4232917139614076"
329,1,"2.7","0.9","0.6","1.8699999999999999","1.5"
330,3,"3.740277777777778","1.0958333333333334","0.7180555555555556","1.7645833333333334","0.43583333333333335"
331,6,"4.889673913043477","1.9081521739130434","0.4739130434782609","1.7361956521739133","1.5467391304347828"
332,3,"4.636453201970443","1.7379310344827583","0.9586206896551726","1.9906896551724138","1.2988177339901479"
333,1,"0.2","0.3","0","0.9600000000000001","0.9700000000000001"
334,1,"5.3","1","1.1","0.71","0.71"
